cycle,white_wins,black_wins,draws
1,0,0,10
2,0,0,10
3,0,0,10
4,0,0,10
5,0,10,0
6,0,0,10
7,0,0,10
8,0,0,10
9,0,0,10
10,0,0,10
11,0,0,10
12,0,0,10
13,0,0,10
14,0,0,10
15,0,0,10
16,0,0,10
17,0,0,10
18,0,0,10
19,0,0,10
20,0,0,10
21,0,0,10
22,0,0,10
23,0,0,10
24,0,0,10
25,0,0,10
26,0,0,10
27,0,0,10
28,0,0,10
29,0,0,10
30,0,0,10
31,0,0,10
32,0,0,10
33,0,0,10
34,0,0,10
35,0,0,10
36,0,0,10
37,0,0,10
38,0,0,10
39,0,0,10
40,0,0,10
41,0,0,10
42,0,0,10
43,0,0,10
44,0,0,10
45,0,0,10
46,0,0,10
47,0,0,10
48,0,0,10
49,0,0,10
50,0,0,10
1,3,0,47
2,2,0,48
3,7,0,43
4,1,0,49
5,4,0,46
6,8,0,42
7,0,0,50
8,0,0,50
9,0,0,50
10,0,0,50
11,0,0,50
12,0,0,50
13,0,0,50
14,0,0,50
15,1,0,49
16,0,0,50
17,1,0,49
18,0,0,50
19,0,0,50
20,2,0,48
21,5,0,45
1,0,0,10
1,0,0,10
2,0,0,10
3,2,0,8
4,1,0,9
5,0,0,10
6,0,0,10
7,1,0,9
8,0,0,10
9,0,0,10
10,0,0,10
11,0,0,10
12,0,0,10
13,0,0,10
14,3,0,7
15,0,0,10
16,1,0,9
17,1,0,9
18,2,0,8
19,1,0,9
20,0,0,10
21,0,0,10
22,0,0,10
23,0,0,10
24,0,0,10
25,1,0,9
26,1,0,9
27,0,0,10
28,0,0,10
29,3,0,7
30,0,0,10
31,0,0,10
32,2,0,8
33,0,0,10
34,1,0,9
35,0,0,10
36,2,0,8
37,0,0,10
38,0,0,10
39,1,0,9
40,1,0,9
41,0,0,10
42,1,0,9
43,0,0,10
44,1,0,9
45,0,0,10
46,0,0,10
47,0,0,10
48,1,0,9
49,0,0,10
50,1,0,9
51,2,0,8
52,1,0,9
53,1,0,9
54,0,0,10
55,0,0,10
56,1,0,9
57,0,0,10
58,0,0,10
59,0,0,10
60,0,0,10
61,0,0,10
62,0,0,10
63,0,0,10
64,0,0,10
65,1,0,9
66,0,0,10
67,0,0,10
68,0,0,10
69,1,0,9
70,0,0,10
71,0,0,10
72,2,0,8
73,0,0,10
74,0,0,10
75,0,0,10
76,1,0,9
77,0,0,10
78,0,0,10
79,0,0,10
80,0,0,10
81,0,0,10
82,1,0,9
83,1,0,9
84,0,0,10
85,0,0,10
86,0,0,10
87,0,0,10
88,0,0,10
89,2,0,8
90,0,0,10
91,1,0,9
92,0,0,10
93,0,0,10
94,0,0,10
95,0,0,10
96,1,0,9
97,0,0,10
98,0,0,10
99,0,0,10
100,0,0,10
101,0,0,10
102,0,0,10
103,0,0,10
104,0,0,10
105,0,0,10
106,0,0,10
107,0,0,10
108,0,0,10
109,0,0,10
110,0,0,10
111,1,0,9
112,0,0,10
113,0,0,10
114,0,0,10
115,1,0,9
116,1,0,9
117,0,0,10
118,0,0,10
119,0,0,10
120,0,0,10
121,0,0,10
122,0,0,10
123,0,0,10
124,0,0,10
125,1,0,9
126,1,0,9
127,0,0,10
128,1,0,9
129,0,0,10
130,0,0,10
131,0,0,10
132,0,0,10
133,0,0,10
134,0,0,10
135,0,0,10
136,0,0,10
137,0,0,10
138,0,0,10
139,0,0,10
140,1,0,9
141,0,0,10
142,0,0,10
143,1,0,9
144,0,0,10
145,0,0,10
146,0,0,10
147,0,0,10
148,0,0,10
149,0,0,10
150,0,0,10
